Title,Status,Assignee,Target Date,Labels
Implement user authentication (JWT),To do,Marco,2025-08-02,"auth,backend"
Create Pong game frontend,To do,Emanuele,2025-08-04,"game,frontend"
Build REST API for Pong matchmaking,To do,Leonardo,2025-08-06,"game,backend"
Implement game save/load (JSON),To do,Leonardo,2025-08-07,"save,backend"
Replace basic Pong with server-side version via API,To do,Marco,2025-08-10,"server-side,major"
Enable CLI Pong gameplay vs web users via API,To do,Marco,2025-08-13,"cli,api,major"
Implement in-game chat,To do,Emanuele,2025-08-14,"chat,ux"
Add player friend/block system,To do,Leonardo,2025-08-15,"user,minor"
Add accessibility support for visual impairments,To do,Marco,2025-08-17,"accessibility,minor"
Make site responsive across devices,To do,Emanuele,2025-08-17,"ui,responsive"
Set up TLS and WAF with Vault,To do,Leonardo,2025-08-18,"security,devops"
Integrate 2FA and secure JWT handling,To do,Marco,2025-08-19,"security,auth"
Setup Prometheus and Grafana monitoring,To do,Emanuele,2025-08-20,"monitoring,devops"
Configure centralized logging with ELK,To do,Leonardo,2025-08-21,"logging,devops"
Add basic AI opponent logic,To do,Emanuele,2025-08-22,"ai,game"
Implement GDPR compliance features,To do,Marco,2025-08-23,"legal,gdpr"
